comment_id,text,author,likes,replies,time,time_parsed
UgzMWgkAiA0EJchwPqt4AaABAg,ambyaar,@Zanitahiburan,0,,2 minggu yang lalu,1780150940.041071
Ugxz849WxPKuE3sMLLh4AaABAg,Ini kabinet yg bener bener kaya lemari kosong ...belum menteri keuangannya suka asbun nggak perduli investor 😢😢😢rusak kaya bossnya,@antoniq9000-med,0,,2 minggu yang lalu,1780150940.043186
UgzAzRlgWP16ZjXLzod4AaABAg,"Inti dr segala inti pemerintah GA KOMPETEN samsek manage negara. Pimpinan narsistik blgny buat rakyat padahal ada tujuan lain, cuma kedok. Ga trima kritik dan ga open. Belanja dg mata uang asing gila2an demi menguntungkan golongan sendiri.",@hwkey88,0,,2 minggu yang lalu,1780150940.045183
UgwhRPQWLntM74vFJHl4AaABAg,Currency War is commencing,@WEBenar,0,,2 minggu yang lalu,1780150940.356204
UgyDNRp5U2vYeFwQWVB4AaABAg,Menurut ku sih saat ini dollar sedang menguat seperti terlihat pada aux/usd,@ismetahmad8389,0,,2 minggu yang lalu,1780150940.356204
UgwZnySXxsZPOqqEu5t4AaABAg,Saya senang ni channel. Karena kritiknya baik dan membangun tpi disatu sisi berimbang ♥️,@SilentKiller0823,0,,2 minggu yang lalu,1780150940.356204
Ugx-thzTWX9ndCSLSG94AaABAg,Kuliah gratis. makasih koh 😊,@oranggila159,0,,3 minggu yang lalu,1779546140.370692
UgwTs1_784yczKTt8o94AaABAg,kalau 17 845 indonesia merdeka kata PDIP,@suwandikcf6445,0,,3 minggu yang lalu,1779546140.371706
UgyyXJpFx2uJJnHnS6V4AaABAg,Ekonomi gak serepot yg di bayangkan brow. Ekonomi gak lebih sulit dari main domino. Kuat tidak nya ekonomi tergantung kartu yg ada ditangan anda. Yg tau kartu bukan anda tapi otoritas yg di kasih mandad,@ahdanofnof8510,0,,3 minggu yang lalu (diedit),1779546140.373791
Ugw3X4EF4KYziwf-ToV4AaABAg,ZOEL/PLOEZ BANYAKNYA KORUPTOOR PENYIMPAN $,@pak_oha0628,0,,3 minggu yang lalu,1779546140.373791
UgyTq-35NH9RnguzLsB4AaABAg,Dikata yang coment2 yg lihat video dan yg bikin video orang2 bodoh bagi mereka..,@hengkysiswanto6107,1,,3 minggu yang lalu,1779546140.373791
UgyVRKxUI3cpdevLPQN4AaABAg,"Menurut ku ekonomi sangat terdampak dari karakter pejabat dan hukum di dalam negeri.
Ketidak amanan membuat investor pada tidak percaya dengan negara ini.",@sriefajar-po1sj,0,,3 minggu yang lalu,1779546140.373791
Ugw__xkHhH40IigGZXl4AaABAg,Bagus donk rupiah melemah agar mendorong ekspor. Bukan mau mendorong impor kan? Dgn gitu pengekspor akan lebih digiatkan. Biar aja pengimpor rugi!!!!!! ❤❤❤❤,@BernardShin888,2,,3 minggu yang lalu,1779546140.373791
UgwK-6Dsdg-i3zARYgd4AaABAg,"Cek berapa jumlah korban di lebaran haji tahun ini,,,!",@neobaroq,0,,3 minggu yang lalu,1779546140.373791
Ugxhcn5Ow1kEbBg7lll4AaABAg,"Penjelasannya ringan, mudah diterima",@leeHtet-rr3et,0,,3 minggu yang lalu,1779546140.373791
UgxDaTln4AxCcuPrOhR4AaABAg,"Kalau Danamas Dollar, bisa langsung buka akun di Sinarmas (bank, atau broker), karena min investnya masih bisa di 100 USD",@GuruDevata,0,,3 minggu yang lalu,1779546140.373791
Ugzyyrx3zzu-WT9rlDV4AaABAg,"asal kita gak impor gak ngaruh tuh rupiah turun,, malah kita ekspor pakai dollar malah lebih untung kan kayaknya? cuma hanya orang kaya yg suka keluar yg ngerasa rugi,, pengusaha yang impor yang pusing,, kalo desa mah,, gak ngaruh,, asal bahan pokok gak impor jadi harga masih stabil,, atau asal harga pokok stabil mah,, gak ngaruh rupiah turun...",@studio28channel94,0,,3 minggu yang lalu,1779546140.38734
